URL_ID,URL,Positive_Score,Negative_Score,Polarity_Score,Subjectivity_Score,Avg_Sentence_Length,Percentage_Complex_Words,Fog_Index,AVG NUMBER OF WORDS PER SENTENCE,Complex_Word_Count,Word_Count,Syllable_Per_Word,Personal_Pronouns,Avg_Word_Length
Netclan20241143,https://insights.blackcoffer.com/key-audit-matters-predictive-modeling/,3,8,-0.454545413,0.049327354,15.92857143,0.484304933,6.565150545,15.92857143,108,223,2.618834081,3,6.569506726
Netclan20241144,https://insights.blackcoffer.com/splitting-of-songs-into-its-vocals-and-instrumental/,9,2,0.636363579,0.097345132,11.3,0.389380531,4.675752212,11.3,44,113,2.451327434,1,6.566371681
Netclan20241145,https://insights.blackcoffer.com/ai-and-ml-technologies-to-evaluate-learning-assessments/,12,2,0.714285663,0.080924855,9.611111111,0.537572254,4.059473346,9.611111111,93,173,2.838150289,12,7.265895954
Netclan20241146,https://insights.blackcoffer.com/datawarehouse-and-recommendations-engine-for-airbnb/,8,3,0.454545413,0.08029197,11.41666667,0.379562044,4.718491484,11.41666667,52,137,2.394160584,7,6.773722628
Netclan20241147,https://insights.blackcoffer.com/real-estate-data-warehouse/,4,0,0.99999975,0.026666666,10.71428571,0.413333333,4.451047619,10.71428571,62,150,2.44,1,6.666666667
Netclan20241148,https://insights.blackcoffer.com/traction-dashboards-of-marketing-campaigns-and-posts/,3,1,0.499999875,0.027210884,11.30769231,0.421768707,4.691784406,11.30769231,62,147,2.37414966,8,6.56462585
Netclan20241149,https://insights.blackcoffer.com/google-local-service-ads-lsa-data-warehouse/,2,0,0.9999995,0.023529411,12.14285714,0.447058824,5.035966387,12.14285714,38,85,2.494117647,0,6.247058824
Netclan20241150,https://insights.blackcoffer.com/google-local-service-ads-missed-calls-and-messages-automation-tool/,2,1,0.333333222,0.036144578,20.75,0.397590361,8.459036145,20.75,33,83,2.373493976,0,6.180722892
Netclan20241151,https://insights.blackcoffer.com/marketing-ads-leads-call-status-data-tool-to-bigquery/,3,0,0.999999667,0.039999999,12.5,0.493333333,5.197333333,12.5,37,75,2.6,0,6.493333333
Netclan20241152,https://insights.blackcoffer.com/marketing-analytics-to-automate-leads-call-status-and-reporting/,3,0,0.999999667,0.036585365,13.66666667,0.43902439,5.642276423,13.66666667,36,82,2.5,0,6.390243902
Netclan20241153,https://insights.blackcoffer.com/callrail-analytics-leads-report-alert/,2,0,0.9999995,0.025641025,11.14285714,0.487179487,4.652014652,11.14285714,38,78,2.602564103,0,6.512820513
Netclan20241154,https://insights.blackcoffer.com/marketing-automation-tool-to-notify-lead-details-to-clients-over-email-and-phone/,1,0,0.999999,0.016129032,15.5,0.387096774,6.35483871,15.5,24,62,2.370967742,0,6.322580645
Netclan20241155,https://insights.blackcoffer.com/data-etl-local-service-ads-leads-to-bigquery/,2,0,0.9999995,0.031746031,12.6,0.476190476,5.23047619,12.6,30,63,2.555555556,0,6.428571429
Netclan20241156,https://insights.blackcoffer.com/marbles-stimulation-using-python/,4,2,0.333333278,0.06741573,8.090909091,0.370786517,3.384678243,8.090909091,33,89,2.325842697,2,6.280898876
Netclan20241157,https://insights.blackcoffer.com/stocktwits-data-structurization/,14,10,0.16666666,0.048289738,10.35416667,0.354124748,4.283316566,10.35416667,176,497,2.440643863,6,6.6277666
Netclan20241158,https://insights.blackcoffer.com/sentimental-analysis-on-shareholder-letter-of-companies/,9,7,0.124999992,0.059925093,12.71428571,0.558052434,5.308935259,12.71428571,149,267,2.737827715,5,7.232209738
Netclan20241159,https://insights.blackcoffer.com/population-and-community-survey-of-america/,13,9,0.181818174,0.045548654,14.20588235,0.440993789,5.858750457,14.20588235,213,483,2.546583851,3,6.712215321
Netclan20241160,https://insights.blackcoffer.com/google-lsa-api-data-automation-and-dashboarding/,20,19,0.025641025,0.050064185,12.171875,0.465982028,5.055142811,12.171875,363,779,2.586649551,7,6.508344031
Netclan20241161,https://insights.blackcoffer.com/healthcare-data-analysis/,6,7,-0.076923071,0.135416665,8.727272727,0.427083333,3.661742424,8.727272727,41,96,2.416666667,11,6.34375
Netclan20241162,https://insights.blackcoffer.com/budget-sales-kpi-dashboard-using-power-bi/,0,0,0,0,9,0.666666667,3.866666667,9,6,9,4.777777778,0,12.44444444
Netclan20241163,https://insights.blackcoffer.com/amazon-buy-bot-an-automation-ai-tool-to-auto-checkouts/,2,0,0.9999995,0.033898305,8.428571429,0.338983051,3.507021792,8.428571429,20,59,2.322033898,1,6.389830508
